Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
154,Bhayshul Tuten,JAX,RB,22,15,0,0,0,0,0,0,83,307,3.70,5,14,10,79,7.90,2,2,1,7,,,79,88.6,92.6,83.6,,48,,TuteBh00
155,Chimere Dike*+,TEN,WR,24,17,10,0,0,0,0,0,11,18,1.64,0,74,48,423,8.81,4,2,1,6,,,78,126.1,130.1,102.1,,51,,DikeCh00
156,Josh Downs,IND,WR,24,16,11,0,0,0,0,0,2,-2,-1.00,0,88,58,566,9.76,4,1,1,4,,,78,136.4,140.4,107.4,,50,,DownJo00
157,Kyler Murray,ARI,QB,28,5,5,110,161,962,6,3,29,173,5.97,1,0,0,0,,0,1,1,1,,,78,77.8,87.8,80.8,,38,,MurrKy00
158,Elic Ayomanor,TEN,WR,22,16,14,0,0,0,0,0,0,0,,0,89,41,515,12.56,4,0,0,4,,,76,116.5,119.5,96.0,,53,,AyomEl00
159,Zach Ertz,WAS,TE,35,13,13,0,0,0,0,0,0,0,,0,72,50,504,10.08,4,1,0,4,1,,76,126.4,129.4,101.4,,21,,ErtzZa00
160,Ty Johnson,BUF,RB,28,17,0,0,0,0,0,0,50,200,4.00,3,33,24,263,10.96,2,1,0,5,,,76,100.3,106.3,88.3,,49,,JohnTy02
161,Terry McLaurin,WAS,WR,30,10,10,0,0,0,0,0,0,0,,0,60,38,582,15.32,3,0,0,3,,,76,114.2,117.2,95.2,,52,,McLaTe00
162,Nick Chubb,HOU,RB,30,15,9,0,0,0,0,0,122,506,4.15,3,20,13,67,5.15,0,0,0,3,,,75,88.3,91.3,81.8,,50,,ChubNi00
163,Ryan Flournoy,DAL,WR,26,16,4,0,0,0,0,0,4,25,6.25,0,56,40,475,11.88,4,0,0,4,,,74,114.0,117.0,94.0,,54,,FlouRy00
164,Pat Freiermuth,PIT,TE,27,17,8,0,0,0,0,0,0,0,,0,54,41,486,11.85,4,0,0,4,,,73,113.6,116.6,93.1,,22,,FreiPa00
165,Jalen Nailor,MIN,WR,26,17,8,0,0,0,0,0,2,13,6.50,0,53,29,444,15.31,4,0,0,4,1,,72,100.7,103.7,86.2,,55,,NailJa00
166,Brenton Strange,JAX,TE,25,12,12,0,0,0,0,0,0,0,,0,60,46,540,11.74,3,0,0,3,,,72,118.0,121.0,95.0,,23,,StraBr00
167,Jerry Jeudy,CLE,WR,26,17,16,0,0,0,0,0,1,5,5.00,0,106,50,602,12.04,2,1,1,2,,,71,120.7,124.7,95.7,,56,,JeudJe00
168,Zonovan Knight,ARI,RB,24,12,8,0,0,0,0,0,82,269,3.28,4,31,22,160,7.27,1,1,1,5,,,71,92.9,99.9,81.9,,51,,KnigZo00
169,Malik Washington,MIA,WR,24,17,6,0,0,0,0,0,17,110,6.47,1,65,46,317,6.89,3,1,1,5,,,71,116.7,123.7,93.7,,57,,WashMa00
170,Dillon Gabriel,CLE,QB,25,10,6,110,185,937,7,2,14,86,6.14,0,0,0,0,,0,0,0,0,,,70,70.1,75.1,72.1,,40,,GabrDi00
171,Carson Wentz,MIN,QB,33,5,5,110,169,1216,6,5,11,57,5.18,0,0,0,0,,0,3,0,0,,1,70,70.3,78.3,75.3,,39,,WentCa00
172,Cooper Kupp,SEA,WR,32,16,15,0,1,0,0,1,0,0,,0,70,47,593,12.62,2,1,1,2,1,,69,116.3,121.3,93.8,,58,,KuppCo00
173,Davis Mills,HOU,QB,27,6,3,91,159,915,5,1,13,60,4.62,1,0,0,0,,0,1,0,1,,1,69,68.6,72.6,69.6,,41,,MillDa02
174,Alvin Kamara,NOR,RB,30,11,11,0,0,0,0,0,131,471,3.60,1,39,33,186,5.64,0,2,2,1,,,68,100.7,108.7,84.2,,53,,KamaAl00
175,Dawson Knox,BUF,TE,29,17,12,0,0,0,0,0,0,0,,0,49,36,417,11.58,4,0,0,4,1,,68,103.7,106.7,85.7,,25,,KnoxDa00
176,Chig Okonkwo,TEN,TE,26,17,12,0,0,0,0,0,0,0,,0,79,56,560,10.00,2,0,0,2,,,68,124.0,127.0,96.0,,24,,OkonCh00
177,Isiah Pacheco,KAN,RB,26,13,12,0,0,0,0,0,118,462,3.92,1,26,19,101,5.32,1,0,0,2,,,68,87.3,93.3,77.8,,52,,PachIs00
178,Xavier Worthy,KAN,WR,22,14,13,0,0,0,0,0,11,87,7.91,0,73,42,532,12.67,1,0,0,1,,,68,109.9,112.9,88.9,,59,,WortXa00
179,Mack Hollins,NWE,WR,32,15,13,0,0,0,0,0,1,4,4.00,0,65,46,550,11.96,2,1,0,2,,,67,113.4,116.4,90.4,,60,,HollMa00
180,Sam LaPorta,DET,TE,24,9,9,0,0,0,0,0,0,0,,0,49,40,489,12.23,3,0,0,3,,,67,106.9,109.9,86.9,,26,,LaPoSa01
181,Tyjae Spears,TEN,RB,24,13,1,0,0,0,0,0,72,283,3.93,2,50,45,264,5.87,0,0,0,2,,,67,111.7,117.7,89.2,,54,,SpeaTy00
182,Michael Carter,ARI,RB,26,13,5,0,0,0,0,0,92,333,3.62,1,45,33,267,8.09,0,0,0,1,,,66,99.0,105.0,82.5,,55,,CartMi03
183,DeMario Douglas,NWE,WR,25,17,0,0,0,0,0,0,7,21,3.00,0,46,31,447,14.42,3,0,0,3,,,65,95.8,98.8,80.3,,61,,DougDe00
184,Darren Waller,MIA,TE,33,9,3,0,0,0,0,0,1,4,4.00,0,34,24,283,11.79,6,0,0,6,,,65,88.7,91.7,76.7,,27,,WallDa01
185,Keon Coleman,BUF,WR,22,13,6,0,0,0,0,0,0,0,,0,59,38,404,10.63,4,1,1,4,1,,64,102.4,106.4,83.4,,62,,ColeKe02
186,Tez Johnson,TAM,WR,23,16,8,0,0,0,0,0,7,22,3.14,0,44,28,322,11.50,5,0,0,5,,,64,92.4,95.4,78.4,,63,,JohnTe03
187,Garrett Wilson,NYJ,WR,25,7,7,0,0,0,0,0,0,0,,0,59,36,395,10.97,4,1,0,4,,,64,99.5,102.5,81.5,,64,,WilsGa00
188,Xavier Hutchinson,HOU,WR,25,17,6,0,0,0,0,0,3,22,7.33,0,57,35,428,12.23,3,0,0,3,,,63,98.0,101.0,80.5,,65,,HutcXa00
189,Cade Otton,TAM,TE,26,16,16,0,0,0,0,0,0,0,,0,81,59,572,9.69,1,0,0,1,,,63,122.2,125.2,92.7,,28,,OttoCa00
190,T.J. Hockenson,MIN,TE,28,15,15,0,0,0,0,0,1,0,0.00,0,66,51,438,8.59,3,0,0,3,,,62,112.8,115.8,87.3,,29,,HockTJ00
191,Darius Slayton,NYG,WR,28,14,12,0,0,0,0,0,0,0,,0,63,37,538,14.54,1,1,1,1,2,,62,98.8,102.8,80.3,,66,,SlayDa01
192,Tyquan Thornton,KAN,WR,25,14,4,0,0,0,0,0,0,0,,0,37,19,438,23.05,3,0,0,3,,,62,80.8,83.8,71.3,,67,,ThorTy00
193,Samaje Perine,CIN,RB,30,15,2,0,0,0,0,0,84,382,4.55,3,21,17,87,5.12,0,3,2,3,,,61,77.9,82.9,69.4,,56,,PeriSa00
194,Isaac TeSlaa,DET,WR,23,17,3,0,0,0,0,0,0,0,,0,27,16,239,14.94,6,0,0,6,,,60,75.9,78.9,67.9,,68,,TeSlIs00
195,Tyrod Taylor,NYJ,QB,36,6,4,80,134,779,5,5,27,143,5.30,1,0,0,0,,0,1,1,1,,,59,59.5,71.5,64.5,,42,,TaylTy00
196,Jake Tonges,SFO,TE,26,17,2,0,0,0,0,0,0,0,,0,46,34,293,8.62,5,0,0,5,,,59,93.3,96.3,76.3,,30,,TongJa00
197,KaVontae Turpin*,DAL,WR,29,15,2,0,0,0,0,0,17,89,5.24,0,38,26,396,15.23,2,1,1,2,,,59,84.5,88.5,71.5,,69,,TurpKa00
198,Jalen Coker,CAR,WR,24,11,3,0,0,0,0,0,0,0,,0,43,33,394,11.94,3,1,1,3,1,,57,90.4,94.4,73.9,,70,,CokeJa01
199,Andrei Iosivas,CIN,WR,26,17,9,0,0,0,0,0,3,14,4.67,0,58,33,435,13.18,2,0,0,2,,,57,89.9,92.9,73.4,,71,,IosiAn00
200,Marvin Mims,DEN,WR,23,15,4,0,0,0,0,0,12,78,6.50,1,51,37,322,8.70,1,2,1,3,,,56,93.0,97.0,74.5,,72,,MimsMa00
201,Calvin Austin III,PIT,WR,26,14,7,0,0,0,0,0,0,0,,0,55,31,372,12.00,3,0,0,3,,,55,86.2,89.2,70.7,,73,,AustCa00
202,Kendrick Bourne,SFO,WR,30,16,8,0,0,0,0,0,0,0,,0,53,37,551,14.89,0,0,0,0,,,55,92.1,95.1,73.6,,74,,BourKe00
203,Mike Evans,TAM,WR,32,8,8,0,0,0,0,0,0,0,,0,62,30,368,12.27,3,0,0,3,,,55,84.8,87.8,69.8,,76,,EvanMi00
204,Adonai Mitchell,2TM,WR,23,16,5,0,0,0,0,0,1,-4,-4.00,0,74,33,453,13.73,2,1,1,2,,,55,87.9,91.9,71.4,,75,,MitcAd00
205,Brian Robinson Jr.,SFO,RB,26,17,0,0,0,0,0,0,92,400,4.35,2,12,8,25,3.13,0,0,0,2,,,55,62.5,65.5,58.5,,58,,RobiBr01
206,Dylan Sampson,CLE,RB,21,15,2,0,0,0,0,0,65,175,2.69,0,40,33,271,8.21,2,1,1,2,,,55,87.6,94.6,71.1,,57,,SampDy00
207,Ray Davis+,BUF,RB,26,17,0,0,0,0,0,0,58,275,4.74,0,13,10,86,8.60,2,0,0,3,,,54,64.1,67.1,59.1,,59,,DaviRa04
208,Xavier Legette,CAR,WR,24,15,12,0,0,0,0,0,1,0,0.00,0,64,35,363,10.37,3,1,0,3,,,54,89.3,92.3,71.8,,77,,LegeXa00
209,Evan Engram,DEN,TE,31,16,2,0,0,0,0,0,1,7,7.00,0,76,50,461,9.22,1,0,0,1,,,53,102.8,105.8,77.8,,32,,EngrEv00
210,David Njoku,CLE,TE,29,12,11,0,0,0,0,0,0,0,,0,48,33,293,8.88,4,0,0,4,,,53,86.3,89.3,69.8,,31,,NjokDa00
211,Ricky Pearsall,SFO,WR,25,9,9,0,0,0,0,0,2,-2,-1.00,0,53,36,528,14.67,0,0,0,0,,,53,88.6,91.6,70.6,,78,,PearRi00
212,Tory Horton,SEA,WR,23,8,3,0,0,0,0,0,0,0,,0,22,13,161,12.38,5,0,0,6,,,52,65.1,68.1,58.6,,79,,HortTo00
213,Tank Bigsby,2TM,RB,24,17,1,0,0,0,0,0,63,356,5.65,2,4,3,32,10.67,0,0,0,2,,,51,53.8,56.8,52.3,,60,,BigsTa00
214,Malik Willis,GNB,QB,26,4,1,30,35,422,3,0,22,123,5.59,2,0,0,0,,0,2,1,2,,,51,51.2,58.2,51.2,,43,,WillMa12
215,Isaiah Davis,NYJ,RB,23,16,0,0,0,0,0,0,43,236,5.49,1,28,21,186,8.86,0,0,0,1,1,,50,71.2,77.2,60.7,,61,,DaviIs00
216,Chris Godwin,TAM,WR,29,9,6,0,0,0,0,0,0,0,,0,51,33,360,10.91,2,0,0,2,1,,50,83.0,86.0,66.5,,81,,GodwCh00
217,Darnell Mooney,ATL,WR,28,15,15,0,0,0,0,0,0,0,,0,72,32,443,13.84,1,2,0,1,,,50,82.3,85.3,66.3,,80,,MoonDa00
218,Russell Wilson,NYG,QB,37,6,3,69,119,831,3,3,18,106,5.89,0,0,0,0,,0,3,0,0,,,50,49.8,58.8,52.8,,44,,WilsRu00
219,Jake Browning,CIN,QB,29,5,3,81,125,771,6,8,9,39,4.33,1,0,0,0,,0,1,0,1,,,49,48.7,59.7,56.7,,45,,BrowJa08
220,Cole Kmet,CHI,TE,26,16,15,0,1,0,0,0,0,0,,0,48,30,347,11.57,2,0,0,2,1,,49,78.7,81.7,63.7,,33,,KmetCo00
221,Gunnar Helm,TEN,TE,23,16,10,0,0,0,0,0,0,0,,0,55,44,357,8.11,2,0,0,2,,,48,91.7,94.7,69.7,,34,,HelmGu00
222,Jeremy McNichols,WAS,RB,30,17,1,0,0,0,0,0,44,221,5.02,1,31,25,196,7.84,0,1,1,1,1,,48,72.7,79.7,60.2,,62,,McNiJe00
223,Ollie Gordon,MIA,RB,21,17,1,0,0,0,0,0,70,199,2.84,3,9,7,32,4.57,1,0,0,4,,,47,54.1,57.1,50.6,,63,,GordOl00
224,Jonnu Smith,PIT,TE,30,17,7,0,0,0,0,0,9,70,7.78,1,54,38,222,5.84,2,1,0,3,,,47,85.2,88.2,66.2,,35,,SmitJo01
225,Greg Dortch,ARI,WR,27,12,3,0,0,0,0,0,7,15,2.14,1,33,29,206,7.10,3,1,0,4,,,46,75.1,78.1,60.6,,82,,DortGr01
226,Tyler Higbee,LAR,TE,32,10,8,0,0,0,0,0,0,0,,0,36,25,281,11.24,3,0,0,3,,,46,71.1,74.1,58.6,,36,,HigbTy00
227,Keaton Mitchell,BAL,RB,23,13,0,0,0,0,0,0,59,341,5.78,1,12,9,63,7.00,0,1,0,1,,,46,55.4,58.4,50.9,,64,,MitcKe01
228,Dontayvion Wicks,GNB,WR,24,14,7,0,0,0,0,0,1,6,6.00,0,46,30,332,11.07,2,0,0,2,,,46,75.8,78.8,60.8,,83,,WickDo00
229,Olamide Zaccheaus,CHI,WR,28,16,5,0,0,0,0,0,4,25,6.25,0,65,39,313,8.03,2,0,0,2,,,46,84.8,87.8,65.3,,84,,ZaccOl01
230,Emari Demercado,ARI,RB,26,13,0,0,0,0,0,0,44,312,7.09,0,20,13,101,7.77,1,1,1,1,,,45,58.3,65.3,51.8,,65,,DemeEm00
231,DeAndre Hopkins,BAL,WR,33,17,3,0,0,0,0,0,0,0,,0,39,22,330,15.00,2,0,0,2,,,45,67.0,70.0,56.0,,85,,HopkDe00
232,Mason Taylor,NYJ,TE,21,13,11,0,0,0,0,0,0,0,,0,65,44,369,8.39,1,0,0,1,1,,45,88.9,91.9,66.9,,37,,TaylMa02
233,Pat Bryant,DEN,WR,23,15,7,0,0,0,0,0,0,0,,0,49,31,378,12.19,1,0,0,1,,,44,74.8,77.8,59.3,,86,,BryaPa00
234,Justice Hill,BAL,RB,28,10,0,0,0,0,0,0,18,93,5.17,2,27,21,169,8.05,1,1,0,3,,,44,65.2,68.2,54.7,,66,,HillJu00
235,Mike Gesicki,CIN,TE,30,13,2,0,0,0,0,0,0,0,,0,42,28,307,10.96,2,0,0,2,,,43,70.7,73.7,56.7,,38,,GesiMi00
236,Devin Neal,NOR,RB,22,10,3,0,0,0,0,0,57,206,3.61,2,19,17,104,6.12,0,0,0,2,,,43,60.0,66.0,51.5,,68,,NealDe00
237,Kalif Raymond,DET,WR,31,15,3,0,0,0,0,0,2,19,9.50,0,30,24,289,12.04,1,0,0,2,,,43,66.8,69.8,54.8,,88,,RaymKa00
238,Sterling Shepard,TAM,WR,32,13,2,0,0,0,0,0,4,19,4.75,0,53,39,371,9.51,1,1,1,1,,,43,82.0,86.0,62.5,,87,,ShepSt00
239,Jaylen Wright,MIA,RB,22,10,1,0,0,0,0,0,70,288,4.11,2,9,5,44,8.80,0,2,1,2,,,43,48.2,52.2,45.7,,67,,WrigJa04
240,Jaylin Noel,HOU,WR,23,17,3,0,0,0,0,0,6,12,2.00,0,35,26,292,11.23,2,0,0,2,,,42,68.4,71.4,55.4,,89,,NoelJa00
241,Darnell Washington,PIT,TE,24,16,13,0,0,0,0,0,0,0,,0,43,31,364,11.74,1,2,1,1,1,,42,73.4,77.4,57.9,,39,,WashDa03
242,Jameis Winston,NYG,QB,31,3,2,37,66,567,2,2,7,23,3.29,1,1,1,33,33.00,1,1,1,2,,,42,43.3,49.3,44.8,,46,,WinsJa00
243,Daniel Bellinger,NYG,TE,25,16,10,0,0,0,0,0,0,0,,0,26,19,286,15.05,2,0,0,2,,,41,59.6,62.6,50.1,,42,,BellDa00
244,Noah Fant,CIN,TE,28,15,7,0,0,0,0,0,0,0,,0,41,34,288,8.47,3,3,3,3,,,41,74.8,80.8,57.8,,41,,FantNo00
245,Terrance Ferguson,LAR,TE,22,14,3,0,0,0,0,0,1,0,0.00,0,25,11,231,21.00,3,0,0,3,,,41,52.1,55.1,46.6,,40,,FergTe00
246,Matthew Golden,GNB,WR,22,14,5,0,0,0,0,0,10,49,4.90,0,44,29,361,12.45,0,0,0,0,,,41,70.0,73.0,55.5,,92,,GoldMa02
247,Van Jefferson,TEN,WR,29,16,7,0,0,0,0,0,0,0,,0,52,29,350,12.07,1,0,0,1,,,41,70.0,73.0,55.5,,93,,JeffVa00
248,Tyler Lockett,2TM,WR,33,17,2,0,0,0,0,0,0,0,,0,55,32,291,9.09,1,0,0,2,,,41,73.1,76.1,57.1,,91,,LockTy00
249,JuJu Smith-Schuster,KAN,WR,29,17,12,0,0,0,0,0,0,0,,0,45,33,345,10.45,1,0,0,1,,,41,73.5,76.5,57.0,,94,,SmitJu00
250,Devaughn Vele,NOR,WR,28,13,7,0,0,0,0,0,0,0,,0,39,25,293,11.72,2,0,0,2,,,41,66.3,69.3,53.8,,90,,VeleDe00
251,Tyler Huntley,BAL,QB,27,5,2,52,67,426,2,0,24,151,6.29,0,0,0,0,,0,0,0,0,,,40,40.1,46.1,40.1,,47,,HuntTy01
252,Luke McCaffrey,WAS,WR,24,9,0,0,0,0,0,0,0,0,,0,15,11,203,18.45,3,0,0,3,1,,40,51.3,54.3,45.8,,95,,McCaLu00
253,Josh Oliver,MIN,TE,28,15,7,0,0,0,0,0,0,0,,0,19,15,160,10.67,4,0,0,4,,,40,55.0,58.0,47.5,,43,,OlivJo00
254,Davis Allen,LAR,TE,24,17,5,0,0,0,0,0,0,0,,0,33,24,208,8.67,3,0,0,3,,,39,62.8,65.8,50.8,,44,,AlleDa02
255,Malik Davis,DAL,RB,27,10,0,0,0,0,0,0,52,250,4.81,2,5,2,16,8.00,0,0,0,2,,,39,40.6,43.6,39.6,,69,,DaviMa02
256,Tre Harris,LAC,WR,23,17,10,0,0,0,0,0,2,10,5.00,0,43,30,324,10.80,1,0,0,1,,,39,69.4,72.4,54.4,,96,,HarrTr03
257,Michael Mayer,LVR,TE,24,13,12,0,0,0,0,0,0,0,,0,50,35,328,9.37,1,1,0,1,,,39,73.8,76.8,56.3,,45,,MayeMi00
258,John Metchie,2TM,WR,25,16,7,0,0,0,0,0,3,-5,-1.67,0,48,33,274,8.30,2,0,0,2,,,39,71.9,74.9,55.4,,100,,MetcJo00
259,Malik Nabers,NYG,WR,22,4,4,0,0,0,0,0,0,0,,0,35,18,271,15.06,2,0,0,2,,,39,57.1,60.1,48.1,,98,,NabeMa00
260,Cedric Tillman,CLE,WR,25,13,10,0,0,0,0,0,0,0,,0,39,21,270,12.86,2,0,0,2,,,39,60.0,63.0,49.5,,99,,TillCe01
261,Kyle Williams,NWE,WR,23,17,0,0,0,0,0,0,2,3,1.50,0,21,10,209,20.90,3,0,0,3,,,39,49.2,52.2,44.2,,97,,WillKy03
262,Austin Hooper,NWE,TE,31,16,6,0,0,0,0,0,0,0,,0,26,21,263,12.52,2,0,0,2,,,38,59.3,62.3,48.8,,46,,HoopAu00
263,Brashard Smith,KAN,RB,22,17,1,0,0,0,0,0,44,151,3.43,0,35,25,172,6.88,1,1,0,1,,,38,63.3,69.3,50.8,,70,,SmitBr09
264,Isaiah Bond,CLE,WR,21,16,2,0,0,0,0,0,5,29,5.80,0,44,18,338,18.78,0,0,0,0,,,37,54.7,57.7,45.7,,101,,BondIs00
265,Greg Dulcich,MIA,TE,25,10,3,0,0,0,0,0,1,-7,-7.00,0,33,26,335,12.88,1,1,1,1,,,37,62.8,66.8,49.8,,48,,DulcGr00
266,Jackson Hawes,BUF,TE,25,17,8,0,0,0,0,0,0,0,,0,19,16,187,11.69,3,0,0,3,,,37,52.7,55.7,44.7,,49,,HaweJa00
267,Tim Patrick,JAX,WR,32,16,3,0,0,0,0,0,0,0,,0,24,15,187,12.47,3,0,0,3,,,37,51.7,54.7,44.2,,102,,PatrTi00
268,Tommy Tremble,CAR,TE,25,17,16,0,0,0,0,0,0,0,,0,37,27,249,9.22,2,0,0,2,,,37,63.9,66.9,50.4,,47,,TremTo00
269,Rashod Bateman,BAL,WR,26,13,12,0,0,0,0,0,0,0,,0,38,19,224,11.79,2,0,0,2,1,,36,55.4,58.4,45.9,,103,,BateRa00
270,Audric Estime,NOR,RB,22,7,1,0,0,0,0,0,46,198,4.30,1,13,12,103,8.58,0,0,0,1,,,36,48.1,54.1,42.1,,71,,EstiAu00
271,Travis Hunter,JAX,WR,22,7,4,0,0,0,0,0,1,0,0.00,0,45,28,298,10.64,1,1,0,1,,,36,63.8,66.8,49.8,,105,,HuntTr00
272,Demarcus Robinson,SFO,WR,31,14,2,0,0,0,0,0,1,6,6.00,0,35,22,276,12.55,1,0,0,1,1,,36,58.2,61.2,47.2,,104,,RobiDe01
273,Isaiah Likely,BAL,TE,25,14,7,0,0,0,0,0,0,0,,0,36,27,307,11.37,1,2,1,1,,,35,61.7,65.7,48.2,,50,,LikeIs00
274,Tyreek Hill,MIA,WR,31,4,4,0,0,0,0,0,0,0,,0,29,21,265,12.62,1,0,0,1,,,33,53.5,56.5,43.0,,108,,HillTy00
275,Kyle Juszczyk*+,SFO,FB,34,17,17,0,0,0,0,0,2,-3,-1.50,0,28,24,213,8.88,2,0,0,2,,,33,57.0,60.0,45.0,,72,,JuszKy00
276,Jaylin Lane,WAS,WR,23,15,4,0,0,0,0,0,1,7,7.00,0,32,16,225,14.06,0,3,1,2,,,33,49.2,53.2,41.2,,106,,LaneJa00
277,Isaiah Williams,NYJ,WR,24,15,2,0,1,0,0,0,3,34,11.33,0,36,26,193,7.42,0,1,1,2,,,33,58.7,62.7,45.7,,107,,WillIs03
278,Jahan Dotson,PHI,WR,25,17,10,0,0,0,0,0,0,0,,0,36,18,262,14.56,1,0,0,1,,,32,50.2,53.2,41.2,,109,,DotsJa00
279,Quinn Ewers,MIA,QB,22,4,3,55,83,622,3,3,8,19,2.38,0,1,1,-6,-6.00,0,3,0,0,,,32,33.2,39.2,35.7,,48,,EwerQu00
280,Philip Rivers,IND,QB,44,3,3,58,92,544,4,3,2,-1,-0.50,0,0,0,0,,0,2,0,0,,,32,31.7,37.7,34.7,,49,,RivePh00
281,Devontez Walker,BAL,WR,24,12,3,0,0,0,0,0,0,0,,0,8,6,136,22.67,3,0,0,3,,,32,37.6,40.6,34.6,,110,,WalkDe01
282,Taysom Hill,NOR,TE,35,13,5,2,6,57,1,0,52,114,2.19,1,16,11,91,8.27,0,3,1,1,,,31,41.8,45.8,36.3,,51,,HillTa00
283,Tyrell Shavers,BUF,WR,26,17,9,0,0,0,0,0,0,0,,0,23,15,245,16.33,1,0,0,1,,,31,45.5,48.5,38.0,,112,,ShavTy00
284,David Sills V,ATL,WR,29,17,4,0,0,0,0,0,0,0,,0,36,18,191,10.61,2,0,0,2,,,31,49.1,52.1,40.1,,111,,SillDa01
285,Mitchell Trubisky,BUF,QB,31,4,0,25,35,313,4,0,9,6,0.67,0,0,0,0,,0,0,0,0,,1,31,31.1,34.1,31.1,,50,,TrubMi00
286,Dyami Brown,JAX,WR,26,14,6,0,0,0,0,0,6,30,5.00,0,37,20,227,11.35,1,1,1,1,,,30,49.7,53.7,39.7,,117,,BrowDy00
287,Christian Kirk,HOU,WR,29,13,3,0,0,0,0,0,0,0,,0,52,28,239,8.54,1,0,0,1,,,30,57.9,60.9,43.9,,116,,KirkCh01
288,Josh Palmer,BUF,WR,26,12,8,0,0,0,0,0,0,0,,0,37,22,303,13.77,0,0,0,0,,,30,52.3,55.3,41.3,,113,,PalmJo00
289,Jayden Reed,GNB,WR,25,7,3,0,0,0,0,0,3,28,9.33,0,22,19,207,10.89,1,0,0,1,,,30,48.5,51.5,39.0,,118,,ReedJa03
290,Calvin Ridley,TEN,WR,31,7,6,0,0,0,0,0,0,0,,0,36,17,303,17.82,0,0,0,0,,,30,47.3,50.3,38.8,,114,,RidlCa00
291,Xavier Smith,LAR,WR,28,16,3,0,0,0,0,0,0,0,,0,24,18,303,16.83,0,0,0,0,,,30,48.3,51.3,39.3,,115,,SmitXa00
292,Mitchell Evans,CAR,TE,22,17,10,0,0,0,0,0,1,1,1.00,0,25,19,171,9.00,2,0,0,2,,,29,48.2,51.2,38.7,,52,,EvanMi01
293,Tanner Hudson,CIN,TE,31,15,1,0,0,0,0,0,0,0,,0,24,19,168,8.84,2,0,0,2,,,29,47.8,50.8,38.3,,53,,HudsTa00
294,Riley Leonard,IND,QB,23,5,1,39,67,415,2,3,6,27,4.50,2,0,0,-3,,0,2,2,2,,,29,29.0,37.0,32.0,,51,,LeonRi02
295,Brandin Cooks,2TM,WR,32,15,5,0,0,0,0,0,0,0,,0,36,24,279,11.63,0,0,0,0,,,28,51.9,54.9,39.9,,120,,CookBr00
296,Brady Cook,NYJ,QB,24,5,4,88,153,739,2,7,13,49,3.77,0,0,0,0,,0,3,1,0,,1,28,28.5,39.5,35.5,,52,,CookBr03
297,Elijah Higgins,ARI,TE,25,17,10,0,0,0,0,0,0,0,,0,37,30,301,10.03,0,1,1,0,,,28,58.1,62.1,43.1,,54,,HiggEl00
298,Kendre Miller,NOR,RB,23,7,0,0,0,0,0,0,47,193,4.11,1,5,5,30,6.00,0,0,0,1,,,28,33.3,36.3,30.8,,73,,MillKe01
299,Chris Moore,WAS,WR,32,14,5,0,0,0,0,0,1,9,9.00,0,23,11,207,18.82,1,0,0,1,,,28,38.6,41.6,33.1,,121,,MoorCh00
300,Jalen Tolbert,DAL,WR,26,13,8,0,0,0,0,0,0,0,,0,34,18,203,11.28,1,0,0,1,1,,28,46.3,49.3,37.3,,119,,TolbJa00
